Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group,Migration Culture,Migration Economy
6b9,"['tuf', 'pr2', 'o2r', 'fle']",['tuf'],[],"['tuf', 'pr2', 'o2r']",[],['o2r'],"[('tuf', 2.3), ('pr2', 3.7), ('o2r', 0), ('fle', 3.3)]","[('tuf', 5.0), ('pr2', 7.0), ('o2r', 4.0), ('fle', 7.0)]","[('tuf', 1.0), ('pr2', 1.0), ('o2r', 2.0), ('fle', 3.0)]","[('tuf', 2.0), ('pr2', 4.0), ('o2r', 1.0), ('fle', 0.0)]","[('tuf', 6.0), ('pr2', 5.0), ('o2r', 5.0), ('fle', 0.0)]"
m7x,"['dq4', 'fno', '7y2']","['dq4', 'fno', '7y2']",[],[],[],[],"[('dq4', 1.7), ('fno', 1.7), ('7y2', 1.7)]","[('dq4', 3.0), ('fno', 3.0), ('7y2', 3.0)]","[('dq4', 2.0), ('fno', 1.0), ('7y2', 1.0)]","[('dq4', 1.0), ('fno', 1.0), ('7y2', 1.0)]","[('dq4', 7.0), ('fno', 7.0), ('7y2', 7.0)]"
6nj,"['epz', 'cos', 'ats', 'vkx', 'tmy']","['epz', 'cos', 'ats', 'vkx']","['epz', 'cos', 'ats']","['cos', 'ats']","['cos', 'ats']","['cos', 'ats']","[('epz', 2.3), ('cos', 2.3), ('ats', 2.0), ('vkx', 2.3), ('tmy', 0)]","[('epz', 2.0), ('cos', 4.0), ('ats', 4.0), ('vkx', 4.0), ('tmy', 0.0)]","[('epz', 1.0), ('cos', 1.0), ('ats', 1.0), ('vkx', 1.0), ('tmy', 2.0)]","[('epz', 1.0), ('cos', 2.0), ('ats', 2.0), ('vkx', 2.0)]","[('epz', 6.0), ('cos', 6.0), ('ats', 6.0), ('vkx', 6.0), ('tmy', 0.0)]"
oae,"['39j', 'pkl', 'zme', '8mx', 'r3x', 'e30']","['39j', 'pkl', '8mx', 'r3x', 'e30']",['zme'],"['39j', 'zme']","['39j', 'zme']",['zme'],"[('39j', 1.3), ('pkl', 1.0), ('zme', 1.7), ('8mx', 1.7), ('r3x', 1.3), ('e30', 1.0)]","[('39j', 4.0), ('pkl', 3.0), ('zme', 4.0), ('8mx', 4.0), ('r3x', 3.0), ('e30', 4.0)]","[('39j', 1.0), ('pkl', 1.0), ('zme', 1.0), ('8mx', 2.0), ('r3x', 2.0), ('e30', 2.0)]","[('39j', 2.0), ('pkl', 5.0), ('zme', 4.0), ('r3x', 3.0), ('e30', 4.0)]","[('39j', 4.0), ('pkl', 4.0), ('zme', 4.0), ('8mx', 4.0), ('r3x', 4.0), ('e30', 4.0)]"
gd8,"['w10', 'zit', 'xfz']","['zit', 'xfz']",[],"['zit', 'xfz']",['xfz'],[],"[('w10', 1.3), ('zit', 1.7), ('xfz', 2.0)]","[('w10', 6.0), ('zit', 4.0), ('xfz', 4.0)]","[('w10', 1.0), ('zit', 1.0), ('xfz', 1.0)]","[('w10', 3.0), ('zit', 2.0), ('xfz', 2.0)]","[('w10', 6.0), ('xfz', 7.0)]"
cav,"['wv9', 'n4r', 'l9e', 'yyj', 'wom']","['wv9', 'n4r', 'l9e', 'yyj', 'wom']","['wv9', 'n4r', 'l9e', 'yyj', 'wom']","['wv9', 'n4r', 'l9e', 'yyj', 'wom']","['wv9', 'n4r', 'l9e', 'yyj', 'wom']",[],"[('wv9', 0), ('n4r', 0), ('l9e', 0), ('yyj', 0), ('wom', 0)]","[('wv9', 4.0), ('n4r', 4.0), ('l9e', 4.0), ('yyj', 4.0), ('wom', 4.0)]","[('wv9', 1.0), ('n4r', 1.0), ('l9e', 1.0), ('yyj', 1.0), ('wom', 1.0)]","[('wv9', 2.0), ('n4r', 2.0), ('l9e', 2.0), ('yyj', 2.0), ('wom', 2.0)]","[('wv9', 6.0), ('n4r', 6.0), ('l9e', 6.0), ('yyj', 6.0), ('wom', 6.0)]"
qlq,"['msn', '8fi', 'iqk', 'ol7', 'cp4', 'hxt']","['msn', '8fi', 'iqk', 'ol7', 'cp4', 'hxt']",[],"['msn', '8fi', 'iqk', 'ol7', 'cp4', 'hxt']","['msn', '8fi', 'iqk', 'ol7', 'cp4', 'hxt']",[],"[('msn', 2.3), ('8fi', 2.3), ('iqk', 2.3), ('ol7', 2.7), ('cp4', 2.0), ('hxt', 2.0)]","[('msn', 4.0), ('8fi', 3.0), ('iqk', 4.0), ('ol7', 2.0), ('cp4', 4.0), ('hxt', 4.0)]","[('msn', 1.0), ('8fi', 1.0), ('iqk', 1.0), ('ol7', 1.0), ('cp4', 1.0), ('hxt', 1.0)]","[('msn', 2.0), ('8fi', 2.0), ('iqk', 2.0), ('ol7', 2.0), ('cp4', 2.0), ('hxt', 2.0)]","[('msn', 6.0), ('8fi', 6.0), ('iqk', 6.0), ('ol7', 6.0), ('cp4', 6.0), ('hxt', 6.0)]"
1ey,"['3rt', 'fyg', 'i9d']","['3rt', 'fyg', 'i9d']",[],[],[],[],"[('3rt', 2.3), ('fyg', 1.7), ('i9d', 2.3)]","[('3rt', 2.0), ('fyg', 4.0), ('i9d', 6.0)]","[('3rt', 1.0), ('fyg', 1.0), ('i9d', 1.0)]","[('3rt', 2.0), ('fyg', 2.0), ('i9d', 3.0)]","[('3rt', 6.0), ('fyg', 6.0), ('i9d', 5.0)]"
26o,"['bty', 'klf', '1zx', '5sz']","['bty', 'klf', '1zx', '5sz']",[],"['bty', 'klf', '1zx', '5sz']","['bty', 'klf', '1zx', '5sz']",[],"[('bty', 3.0), ('klf', 1.7), ('1zx', 3.3), ('5sz', 1.7)]","[('bty', 2.0), ('klf', 4.0), ('1zx', 3.0), ('5sz', 2.0)]","[('bty', 1.0), ('klf', 1.0), ('1zx', 1.0), ('5sz', 1.0)]","[('bty', 1.0), ('klf', 1.0), ('1zx', 1.0), ('5sz', 1.0)]","[('bty', 7.0), ('klf', 7.0), ('1zx', 7.0), ('5sz', 7.0)]"
fsu,['vpi'],['vpi'],[],['vpi'],[],[],"[('vpi', 1.7)]","[('vpi', 3.0)]","[('vpi', 1.0)]","[('vpi', 6.0)]","[('vpi', 6.0)]"
n4r,"['zfv', 'l9e', 'e42', 'wv9']","['zfv', 'e42', 'wv9']",['e42'],['e42'],['e42'],[],"[('zfv', 2.0), ('l9e', 3.0), ('e42', 2.3), ('wv9', 2.3)]","[('zfv', 4.0), ('l9e', 6.0), ('e42', 5.0), ('wv9', 4.0)]","[('zfv', 1.0), ('l9e', 1.0), ('e42', 1.0), ('wv9', 1.0)]","[('zfv', 3.0), ('l9e', 5.0), ('e42', 3.0), ('wv9', 3.0)]","[('zfv', 6.0), ('l9e', 5.0), ('e42', 5.0), ('wv9', 6.0)]"
qdi,"['7w1', 'aq6', '44p', '1cb']","['7w1', 'aq6', '44p', '1cb']",[],[],[],[],"[('7w1', 2.0), ('aq6', 2.0), ('44p', 2.3), ('1cb', 2.3)]","[('7w1', 4.0), ('aq6', 5.0), ('44p', 3.0), ('1cb', 3.0)]","[('7w1', 1.0), ('aq6', 1.0), ('44p', 1.0), ('1cb', 1.0)]","[('7w1', 5.0), ('aq6', 5.0), ('44p', 3.0), ('1cb', 3.0)]","[('7w1', 3.0), ('aq6', 4.0), ('44p', 6.0), ('1cb', 6.0)]"
30d,"['rji', '8ke', 'bjp', 'l7r', 'u5b', 'h3h']","['rji', '8ke', 'bjp', 'l7r', 'u5b', 'h3h']","['bjp', 'h3h']","['8ke', 'bjp', 'l7r', 'u5b', 'h3h']",[],['bjp'],"[('rji', 4.0), ('8ke', 3.3), ('bjp', 2.7), ('l7r', 3.7), ('u5b', 3.0), ('h3h', 2.3)]","[('rji', 5.0), ('8ke', 3.0), ('bjp', 4.0), ('l7r', 5.0), ('u5b', 3.0), ('h3h', 4.0)]","[('rji', 1.0), ('8ke', 1.0), ('bjp', 1.0), ('l7r', 1.0), ('u5b', 1.0), ('h3h', 1.0)]","[('rji', 1.0), ('8ke', 1.0), ('bjp', 1.0), ('l7r', 1.0), ('u5b', 1.0), ('h3h', 1.0)]","[('rji', 4.0), ('8ke', 6.0), ('bjp', 5.0), ('l7r', 6.0), ('u5b', 7.0), ('h3h', 0.0)]"
w9x,"['joy', 'g52']","['joy', 'g52']",['joy'],"['joy', 'g52']",[],[],"[('joy', 1.7), ('g52', 2.3)]","[('joy', 5.0), ('g52', 5.0)]","[('joy', 1.0), ('g52', 1.0)]","[('joy', 2.0), ('g52', 2.0)]","[('joy', 6.0), ('g52', 6.0)]"
cos,"['epz', '6nj', 'ats', 'vkx', 'tmy']","['epz', '6nj', 'ats', 'vkx']","['epz', '6nj', 'ats']","['epz', '6nj', 'ats']","['6nj', 'ats']","['6nj', 'ats']","[('epz', 2.0), ('6nj', 0), ('ats', 2.0), ('vkx', 2.7), ('tmy', 0)]","[('epz', 2.0), ('6nj', 3.0), ('ats', 4.0), ('vkx', 3.0), ('tmy', 0.0)]","[('epz', 1.0), ('6nj', 1.0), ('ats', 1.0), ('vkx', 1.0), ('tmy', 2.0)]","[('epz', 2.0), ('6nj', 2.0), ('ats', 2.0), ('vkx', 2.0), ('tmy', 0.0)]","[('epz', 7.0), ('6nj', 7.0), ('ats', 7.0), ('vkx', 7.0), ('tmy', 0.0)]"
twg,[],[],[],[],[],[],[],[],[],[],[]
wv9,"['cav', 'n4r', 'l9e']","['cav', 'n4r', 'l9e']","['cav', 'n4r', 'l9e']","['n4r', 'l9e']",['cav'],[],"[('cav', 2.7), ('n4r', 2.7), ('l9e', 2.7)]","[('cav', 3.0), ('n4r', 3.0), ('l9e', 3.0)]","[('cav', 1.0), ('n4r', 1.0), ('l9e', 1.0)]","[('cav', 2.0), ('n4r', 2.0), ('l9e', 2.0)]","[('cav', 6.0), ('n4r', 6.0), ('l9e', 6.0)]"
z63,[],[],[],[],[],[],[],[],[],[],[]
ats,"['6nj', 'cos', 'epz', 'yc4']","['6nj', 'cos', 'epz', 'yc4']","['6nj', 'cos', 'epz', 'yc4']","['6nj', 'cos', 'yc4']",[],[],"[('6nj', 0), ('cos', 2.3), ('epz', 2.3), ('yc4', 2.0)]","[('6nj', 2.0), ('cos', 5.0), ('epz', 5.0), ('yc4', 3.0)]","[('6nj', 1.0), ('cos', 1.0), ('epz', 1.0), ('yc4', 2.0)]","[('6nj', 1.0), ('cos', 1.0), ('epz', 1.0), ('yc4', 1.0)]","[('6nj', 7.0), ('cos', 7.0), ('epz', 7.0), ('yc4', 7.0)]"
b9u,"['vhs', '70l']",[],['vhs'],[],[],[],"[('vhs', 2.0), ('70l', 2.0)]","[('70l', 3.0)]","[('vhs', 1.0), ('70l', 2.0)]","[('vhs', 2.0), ('70l', 2.0)]","[('vhs', 6.0), ('70l', 6.0)]"
y03,['mtz'],['mtz'],[],[],[],[],"[('mtz', 4.0)]","[('mtz', 7.0)]","[('mtz', 1.0)]","[('mtz', 4.0)]","[('mtz', 4.0)]"
nre,"['98q', 'vug', 'upq', '6z8', 'n64', 'hyf', 'oev', 'rji']","['98q', 'vug', 'upq', '6z8', 'n64', 'hyf', 'oev', 'rji']","['98q', 'vug', 'upq', '6z8', 'n64', 'hyf']","['98q', 'vug', 'upq', '6z8', 'n64', 'hyf', 'oev']","['98q', 'vug', 'upq', '6z8', 'n64', 'hyf']",[],"[('98q', 2.0), ('vug', 2.0), ('upq', 2.0), ('6z8', 2.0), ('n64', 2.0), ('hyf', 2.0), ('oev', 2.0), ('rji', 2.3)]","[('98q', 2.0), ('vug', 2.0), ('upq', 2.0), ('6z8', 2.0), ('n64', 2.0), ('hyf', 2.0), ('oev', 2.0), ('rji', 3.0)]","[('98q', 1.0), ('vug', 1.0), ('upq', 1.0), ('6z8', 1.0), ('n64', 1.0), ('hyf', 1.0), ('oev', 1.0), ('rji', 2.0)]","[('98q', 2.0), ('vug', 2.0), ('upq', 2.0), ('6z8', 2.0), ('n64', 2.0), ('hyf', 2.0), ('oev', 2.0), ('rji', 2.0)]","[('98q', 7.0), ('vug', 7.0), ('upq', 7.0), ('6z8', 7.0), ('n64', 7.0), ('hyf', 7.0), ('oev', 7.0), ('rji', 5.0)]"
0dz,['xfz'],['xfz'],[],[],['xfz'],[],"[('xfz', 2.0)]","[('xfz', 4.0)]","[('xfz', 1.0)]","[('xfz', 2.0)]","[('xfz', 5.0)]"
yvz,[],[],[],[],[],[],[],[],[],[],[]
vkx,"['epz', 'tmy', 'cos', '6nj', 'ats']","['epz', 'tmy', 'cos', '6nj', 'ats']",[],['epz'],[],[],"[('epz', 3.0), ('tmy', 3.0), ('cos', 2.0), ('6nj', 2.0), ('ats', 2.0)]","[('epz', 2.0), ('tmy', 3.0), ('cos', 2.0), ('6nj', 2.0), ('ats', 2.0)]","[('epz', 1.0), ('tmy', 2.0), ('cos', 1.0), ('6nj', 1.0), ('ats', 1.0)]","[('epz', 2.0), ('tmy', 2.0), ('cos', 2.0), ('6nj', 2.0), ('ats', 2.0)]","[('epz', 2.0), ('tmy', 2.0), ('cos', 2.0), ('6nj', 2.0), ('ats', 2.0)]"
6qi,['ren'],['ren'],['ren'],[],['ren'],[],"[('ren', 2.0)]","[('ren', 3.0)]","[('ren', 1.0)]","[('ren', 1.0)]","[('ren', 7.0)]"
udo,[],[],[],[],[],[],[],[],[],[],[]
cuz,"['2fc', 'li1']","['2fc', 'li1']","['2fc', 'li1']","['2fc', 'li1']",['2fc'],[],"[('2fc', 1.7), ('li1', 2.3)]","[('2fc', 3.0), ('li1', 3.0)]","[('2fc', 1.0), ('li1', 1.0)]","[('2fc', 0.0), ('li1', 0.0)]","[('2fc', 0.0), ('li1', 0.0)]"
poi,"['vpi', 'ras', 'ljz', 'go4', 'fsu']","['vpi', 'ras', 'ljz', 'go4']","['vpi', 'ras', 'ljz', 'go4']","['vpi', 'ras', 'ljz', 'go4']","['vpi', 'ras', 'ljz', 'go4']",[],"[('vpi', 2.7), ('ras', 3.0), ('ljz', 2.3), ('go4', 2.7), ('fsu', 5.0)]","[('vpi', 3.0), ('ras', 4.0), ('ljz', 4.0), ('go4', 3.0), ('fsu', 4.0)]","[('vpi', 1.0), ('ras', 1.0), ('ljz', 1.0), ('go4', 1.0), ('fsu', 0.0)]","[('vpi', 3.0), ('ras', 3.0), ('ljz', 3.0), ('go4', 3.0), ('fsu', 3.0)]","[('vpi', 5.0), ('ras', 5.0), ('ljz', 5.0), ('go4', 5.0), ('fsu', 5.0)]"
6t0,"['joy', 'yws', 'g52']","['joy', 'yws', 'g52']",[],[],[],[],"[('joy', 1.3), ('yws', 2.0), ('g52', 2.3)]","[('joy', 4.0), ('yws', 4.0), ('g52', 4.0)]","[('joy', 1.0), ('yws', 1.0), ('g52', 1.0)]","[('joy', 2.0), ('yws', 2.0), ('g52', 2.0)]","[('joy', 6.0), ('yws', 6.0), ('g52', 6.0)]"
7y2,"['fno', 'dq4', 'm7x', 'iy3']","['fno', 'dq4', 'm7x', 'iy3']","['m7x', 'iy3']",['fno'],[],[],"[('fno', 1.7), ('dq4', 1.7), ('m7x', 2.3), ('iy3', 2.0)]","[('fno', 3.0), ('dq4', 5.0), ('m7x', 2.0), ('iy3', 4.0)]","[('fno', 1.0), ('dq4', 1.0), ('m7x', 2.0), ('iy3', 4.0)]","[('fno', 2.0), ('dq4', 2.0), ('m7x', 2.0), ('iy3', 2.0)]","[('fno', 6.0), ('dq4', 6.0), ('m7x', 6.0), ('iy3', 6.0)]"
95j,"['9vw', 'cp4', 'qlq', '4aw']","['9vw', '4aw']",['9vw'],"['9vw', '4aw']",[],['4aw'],"[('9vw', 2.0), ('cp4', 1.3), ('qlq', 1.3), ('4aw', 1.7)]","[('9vw', 5.0), ('cp4', 6.0), ('qlq', 4.0), ('4aw', 7.0)]","[('9vw', 1.0), ('cp4', 1.0), ('qlq', 1.0), ('4aw', 2.0)]","[('9vw', 2.0), ('cp4', 2.0), ('qlq', 2.0), ('4aw', 5.0)]","[('9vw', 4.0), ('cp4', 4.0), ('qlq', 5.0), ('4aw', 3.0)]"
uzs,['qip'],[],[],['qip'],[],[],"[('qip', 2.7)]","[('qip', 4.0)]","[('qip', 1.0)]","[('qip', 2.0)]","[('qip', 4.0)]"
doe,"['8mx', 'xlt', '9sx', 'xgx', 'r3x']",[],[],[],[],[],"[('8mx', 5.0), ('xlt', 5.0), ('9sx', 5.0), ('xgx', 5.0), ('r3x', 5.0)]","[('8mx', 8.0), ('xlt', 6.0), ('9sx', 5.0), ('xgx', 5.0), ('r3x', 5.0)]","[('8mx', 1.0), ('xlt', 2.0), ('9sx', 3.0), ('xgx', 4.0), ('r3x', 7.0)]","[('8mx', 0.0), ('xlt', 0.0), ('9sx', 0.0), ('xgx', 0.0), ('r3x', 0.0)]","[('8mx', 0.0), ('xlt', 0.0), ('9sx', 0.0), ('xgx', 0.0), ('r3x', 0.0)]"
i8x,"['qoh', 'n64', 'ier', '3ue', '3z0', '8ke']","['qoh', 'n64', 'ier', '3ue', '3z0', '8ke']","['n64', 'ier', '3ue']",['3ue'],"['ier', '3ue']",[],"[('qoh', 2.3), ('n64', 3.0), ('ier', 2.7), ('3ue', 1.7), ('3z0', 2.0), ('8ke', 2.0)]","[('qoh', 5.0), ('n64', 3.0), ('ier', 2.0), ('3ue', 2.0), ('3z0', 0.0), ('8ke', 2.0)]","[('qoh', 4.0), ('n64', 3.0), ('ier', 1.0), ('3ue', 1.0), ('3z0', 2.0), ('8ke', 2.0)]","[('qoh', 1.0), ('n64', 1.0), ('ier', 1.0), ('3ue', 1.0), ('3z0', 1.0), ('8ke', 1.0)]","[('qoh', 7.0), ('n64', 7.0), ('ier', 7.0), ('3ue', 7.0), ('3z0', 7.0), ('8ke', 7.0)]"
cbf,['g52'],['g52'],[],['g52'],[],[],"[('g52', 3.0)]","[('g52', 5.0)]","[('g52', 1.0)]","[('g52', 3.0)]","[('g52', 5.0)]"
fkp,[],[],[],[],[],[],[],[],[],[],[]
n3q,"['obm', '7a9']","['obm', '7a9']",['obm'],"['obm', '7a9']",['7a9'],['7a9'],"[('obm', 3.0), ('7a9', 3.3)]","[('obm', 5.0), ('7a9', 6.0)]","[('obm', 1.0), ('7a9', 1.0)]","[('obm', 2.0), ('7a9', 2.0)]","[('obm', 7.0), ('7a9', 6.0)]"
tmy,"['vkx', 'epz']","['vkx', 'epz']",[],[],[],[],"[('vkx', 2.3), ('epz', 2.7)]","[('vkx', 4.0), ('epz', 6.0)]","[('vkx', 1.0), ('epz', 1.0)]","[('vkx', 2.0), ('epz', 2.0)]","[('vkx', 5.0), ('epz', 5.0)]"
4w0,"['bty', '1zx']","['bty', '1zx']",[],[],[],[],"[('bty', 2.3), ('1zx', 2.0)]","[('bty', 3.0), ('1zx', 4.0)]","[('bty', 1.0), ('1zx', 1.0)]","[('bty', 2.0), ('1zx', 2.0)]","[('bty', 6.0), ('1zx', 6.0)]"
ier,"['3ue', '87a', 'i8x']","['3ue', '87a', 'i8x']","['3ue', 'i8x']",['3ue'],"['3ue', 'i8x']",[],"[('3ue', 1.7), ('87a', 3.0), ('i8x', 1.7)]","[('3ue', 7.0), ('87a', 5.0), ('i8x', 3.0)]","[('3ue', 1.0), ('87a', 2.0), ('i8x', 1.0)]","[('3ue', 3.0), ('87a', 3.0), ('i8x', 3.0)]","[('3ue', 5.0), ('87a', 5.0), ('i8x', 5.0)]"
5ci,"['ctx', 'r9o']","['ctx', 'r9o']",[],"['ctx', 'r9o']",[],[],"[('ctx', 2.7), ('r9o', 2.0)]","[('ctx', 6.0), ('r9o', 3.0)]","[('ctx', 1.0), ('r9o', 1.0)]","[('ctx', 5.0), ('r9o', 3.0)]","[('ctx', 3.0), ('r9o', 7.0)]"
24s,['m7x'],[],[],['m7x'],[],[],"[('m7x', 2.3)]",[],"[('m7x', 1.0)]","[('m7x', 3.0)]","[('m7x', 6.0)]"
6z8,"['n64', '98q', 'nre', 'oev', 'upq', 'vug', 'hyf']","['n64', '98q', 'nre', 'oev', 'upq', 'vug', 'hyf']",[],[],[],[],"[('n64', 2.7), ('98q', 2.7), ('nre', 2.7), ('oev', 2.7), ('upq', 2.7), ('vug', 2.7), ('hyf', 2.7)]","[('n64', 3.0), ('98q', 3.0), ('nre', 3.0), ('oev', 2.0), ('upq', 2.0), ('vug', 4.0), ('hyf', 2.0)]","[('n64', 1.0), ('98q', 1.0), ('nre', 1.0), ('oev', 1.0), ('upq', 1.0), ('vug', 1.0), ('hyf', 1.0)]","[('n64', 1.0), ('98q', 1.0), ('nre', 1.0), ('oev', 1.0), ('upq', 1.0), ('vug', 1.0), ('hyf', 1.0)]","[('n64', 7.0), ('98q', 7.0), ('nre', 7.0), ('oev', 7.0), ('upq', 7.0), ('vug', 7.0), ('hyf', 7.0)]"
epz,"['vkx', 'cos', 'tmy', '6nj', 'ats']","['vkx', 'cos', 'tmy', '6nj', 'ats']","['cos', '6nj', 'ats']","['vkx', 'cos']","['cos', '6nj', 'ats']",[],"[('vkx', 5.0), ('cos', 5.0), ('tmy', 5.0), ('6nj', 5.0), ('ats', 2.3)]","[('cos', 4.0), ('tmy', 3.0), ('6nj', 3.0), ('ats', 4.0)]","[('vkx', 1.0), ('cos', 1.0), ('tmy', 2.0), ('6nj', 1.0), ('ats', 1.0)]","[('vkx', 2.0), ('cos', 2.0), ('tmy', 2.0), ('6nj', 2.0), ('ats', 2.0)]","[('vkx', 6.0), ('cos', 7.0), ('tmy', 7.0), ('6nj', 7.0), ('ats', 7.0)]"
g52,"['w9x', 'cbf']","['w9x', 'cbf']",[],[],[],[],"[('w9x', 2.3), ('cbf', 2.7)]","[('w9x', 5.0), ('cbf', 3.0)]","[('w9x', 1.0), ('cbf', 2.0)]","[('w9x', 4.0), ('cbf', 1.0)]","[('w9x', 6.0), ('cbf', 6.0)]"
ljz,"['poi', 'vpi', 'ras', 'go4', 'fsu']","['poi', 'vpi', 'ras', 'go4', 'fsu']","['poi', 'vpi', 'ras', 'go4', 'fsu']","['poi', 'vpi', 'ras', 'go4', 'fsu']","['poi', 'vpi', 'ras', 'go4', 'fsu']",[],"[('poi', 2.7), ('vpi', 2.7), ('ras', 2.7), ('go4', 2.7), ('fsu', 2.7)]","[('poi', 4.0), ('vpi', 4.0), ('ras', 4.0), ('go4', 4.0), ('fsu', 4.0)]","[('poi', 1.0), ('vpi', 1.0), ('ras', 1.0), ('go4', 1.0), ('fsu', 1.0)]","[('poi', 2.0), ('vpi', 3.0), ('ras', 2.0), ('go4', 1.0), ('fsu', 3.0)]","[('poi', 0.0), ('vpi', 0.0), ('ras', 0.0), ('go4', 0.0), ('fsu', 0.0)]"
cp4,"['hxt', 'qlq', 'iqk', 'msn', '8fi', 'ol7']","['hxt', 'qlq', 'iqk', 'msn', '8fi', 'ol7']",[],[],[],[],"[('hxt', 2.3), ('qlq', 2.3), ('iqk', 2.3), ('msn', 2.3), ('8fi', 2.3), ('ol7', 3.0)]","[('hxt', 4.0), ('qlq', 3.0), ('iqk', 4.0), ('msn', 4.0), ('8fi', 4.0), ('ol7', 2.0)]","[('hxt', 1.0), ('qlq', 1.0), ('iqk', 1.0), ('msn', 1.0), ('8fi', 1.0), ('ol7', 1.0)]","[('hxt', 3.0), ('qlq', 3.0), ('iqk', 3.0), ('msn', 3.0), ('8fi', 3.0), ('ol7', 3.0)]","[('hxt', 6.0), ('qlq', 6.0), ('iqk', 6.0), ('msn', 6.0), ('8fi', 6.0), ('ol7', 6.0)]"
1cb,"['r3x', 'aq6', 'qip', 'qdi', '44p']","['r3x', 'aq6', 'qip', 'qdi', '44p']","['qdi', '44p']","['qdi', '44p']","['r3x', 'qdi', '44p']",[],"[('r3x', 2.3), ('aq6', 2.7), ('qip', 3.0), ('qdi', 3.3), ('44p', 2.7)]","[('r3x', 2.0), ('aq6', 3.0), ('qip', 4.0), ('qdi', 3.0), ('44p', 2.0)]","[('r3x', 1.0), ('aq6', 1.0), ('qip', 1.0), ('qdi', 1.0), ('44p', 1.0)]","[('r3x', 3.0), ('aq6', 3.0), ('qip', 3.0), ('qdi', 3.0), ('44p', 3.0)]","[('r3x', 7.0), ('aq6', 6.0), ('qip', 5.0), ('qdi', 6.0), ('44p', 7.0)]"
yws,['j0g'],['j0g'],[],[],[],[],"[('j0g', 1.3)]","[('j0g', 4.0)]","[('j0g', 1.0)]","[('j0g', 3.0)]","[('j0g', 6.0)]"
r75,[],[],[],[],[],[],[],[],[],[],[]
5ul,['w10'],['w10'],[],[],[],[],"[('w10', 0)]","[('w10', 7.0)]","[('w10', 1.0)]","[('w10', 0.0)]","[('w10', 0.0)]"
9vw,"['95j', 'cp4', 'qlq']","['95j', 'cp4']","['95j', 'qlq']","['95j', 'cp4']",['qlq'],[],"[('95j', 2.0), ('cp4', 1.3), ('qlq', 1.3)]","[('95j', 5.0), ('cp4', 5.0), ('qlq', 5.0)]","[('95j', 1.0), ('cp4', 1.0), ('qlq', 1.0)]","[('95j', 4.0), ('cp4', 4.0), ('qlq', 4.0)]","[('95j', 6.0), ('cp4', 7.0), ('qlq', 7.0)]"
3ue,"['ier', '87a', 'i8x']","['ier', '87a', 'i8x']","['ier', 'i8x']","['ier', '87a', 'i8x']",['ier'],[],"[('ier', 2.0), ('87a', 2.7), ('i8x', 2.0)]","[('ier', 4.0), ('87a', 7.0), ('i8x', 3.0)]","[('ier', 1.0), ('87a', 1.0), ('i8x', 1.0)]","[('ier', 1.0), ('87a', 1.0), ('i8x', 1.0)]","[('ier', 7.0), ('87a', 5.0), ('i8x', 6.0)]"
yyj,"['cav', 'wom', '0fo', 'hro', 'bty', 'jjt', '5sz', 'ej8', 'ayq']","['cav', 'wom', 'hro', 'bty', 'jjt', 'ayq']","['wom', '0fo', 'hro', 'ayq']","['wom', 'hro', 'ayq']","['hro', 'ej8', 'ayq']","['bty', '5sz', 'ayq']","[('cav', 2.0), ('wom', 1.3), ('0fo', 3.3), ('hro', 0), ('bty', 0), ('jjt', 2.3), ('5sz', 2.0), ('ej8', 2.3), ('ayq', 1.7)]","[('cav', 5.0), ('wom', 4.0), ('0fo', 5.0), ('hro', 0.0), ('bty', 0.0), ('jjt', 0.0), ('5sz', 5.0), ('ej8', 4.0), ('ayq', 4.0)]","[('cav', 1.0), ('wom', 1.0), ('0fo', 1.0), ('hro', 1.0), ('bty', 2.0), ('jjt', 2.0), ('5sz', 2.0), ('ej8', 2.0), ('ayq', 1.0)]","[('cav', 2.0), ('wom', 4.0), ('0fo', 2.0), ('hro', 3.0), ('bty', 4.0), ('jjt', 3.0), ('5sz', 3.0), ('ej8', 2.0), ('ayq', 1.0)]","[('cav', 3.0), ('wom', 2.0), ('0fo', 3.0), ('hro', 4.0), ('bty', 3.0), ('jjt', 0.0), ('5sz', 0.0), ('ej8', 4.0), ('ayq', 3.0)]"
c38,"['99v', 'zit', 'pdp', '07h']",['07h'],[],['07h'],['07h'],[],"[('99v', 0), ('zit', 0), ('pdp', 0), ('07h', 0)]","[('99v', 0.0), ('zit', 0.0), ('pdp', 0.0), ('07h', 7.0)]","[('99v', 4.0), ('zit', 3.0), ('pdp', 2.0), ('07h', 1.0)]","[('99v', 3.0), ('zit', 3.0), ('pdp', 3.0), ('07h', 4.0)]","[('99v', 6.0), ('zit', 6.0), ('pdp', 6.0), ('07h', 6.0)]"
xfz,['0dz'],[],[],['0dz'],['0dz'],[],"[('0dz', 2.7)]","[('0dz', 3.0)]","[('0dz', 1.0)]","[('0dz', 1.0)]","[('0dz', 7.0)]"
